Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
PLNH,0.14,2026/04/23,16:00 EDT,-0.042999998,0.2,0.20595,0.1404,1215351,20210125,5.54,7.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250929,180.11,6.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250916,170.33,4.0,,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250804,160.0,5.0,1.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250219,124.05,5.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250210,114.2,1.0,0.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20250210,114.11,5.0,1.0,,,,SELL
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20230607,14.84,1.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20230525,12.65,18.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20210419,21.68,2.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20210419,21.75,4.0,0.0,,,,BUY
PLTR,141.57,2026/04/23,16:00 EDT,-11.05,149.7,150.29,139.92,58248826,20210413,24.05,1.0,0.0,,,,BUY
TTCFQ,,,,,,,,,,,,,,,,
HITI,2.4,2026/04/23,16:00 EDT,-0.18,2.65,2.655,2.38,1038532,,,,,,,,
CRSR,6.39,2026/04/23,16:00 EDT,-0.0799999,6.41,6.465,6.24,609105,,,,,,,,
AMC,1.67,2026/04/23,16:00 EDT,-0.0400001,1.7,1.79,1.63,22982643,,,,,,,,
