Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
SOFI,18.32,2026/04/23,16:00 EDT,-0.74,18.78,18.9,17.93,51402191,20250416,10.62,4.0,,,,,BUY
META,659.15,2026/04/23,16:00 EDT,-15.5699,663.53,669.56,653.05,11599083,20250318,577.71,1.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250304,97.09,3.0,,,,,BUY
AMD,305.33,2026/04/23,16:00 EDT,1.87,302.01,310.22,299.76,41583982,20250206,109.71,2.0,0.0,,,,BUY
NKE,44.78,2026/04/23,16:00 EDT,-0.900002,45.58,45.75,44.24,15624551,20241002,84.1,8.0,0.0,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20250312,66.65,6.0,,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20250210,71.99,5.0,0.0,,,,BUY
ELF,66.23,2026/04/23,16:00 EDT,0.650002,65.31,67.88,65.31,1816397,20241008,101.42,4.0,0.0,,,,BUY
